,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,year_released,age,decades,day,month,markup,profitmargin,netprofit,genres,randomgenre
96,97,2016-04-15,The Jungle Book,175000000,364001123,962854547,2016,4,0,Friday,4,4.502025982857143,0.8182487681599949,787854547,"['Adventure', 'Drama', 'Family', 'Fantasy']",Fantasy
97,98,2015-06-19,Inside Out,175000000,356461711,854235992,2015,5,0,Friday,6,3.881348525714286,0.7951385780523282,679235992,"['Crime', 'Drama']",Crime
98,99,2017-07-07,Spider-Man: Homecoming,175000000,334201140,880166350,2017,3,0,Friday,7,4.029522,0.8011739485382507,705166350,"['Action', 'Adventure', 'Drama', 'Science Fiction']",Adventure
99,100,2016-08-05,Suicide Squad,175000000,325100054,746059887,2016,4,0,Friday,8,3.2631993542857143,0.7654343799347035,571059887,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",Science Fiction
101,2,2017-11-22,Coco,175000000,209726015,798008101,2017,3,0,Wednesday,11,3.560046291428572,0.7807039805978109,623008101,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Comedy
104,5,2017-06-16,Cars 3,175000000,152901115,383541369,2017,3,0,Friday,6,1.1916649657142857,0.5437258816271264,208541369,"['Adventure', 'Animation', 'Comedy', 'Family']",Family
110,11,2017-05-12,King Arthur: Legend of the Sword,175000000,39175066,139630336,2017,3,0,Friday,5,-0.2021123657142857,-0.25330930951852754,-35369664,"['Action', 'Drama', 'Fantasy']",Fantasy
111,12,2013-12-25,47 Ronin,175000000,38362475,151716815,2013,7,0,Wednesday,12,-0.13304677142857144,-0.15346476262370787,-23283185,"['Action', 'Adventure', 'Drama', 'Fantasy']",Drama
112,13,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,2018,2,0,Friday,6,6.681016464705883,0.8698088977422479,1135772799,"['Action', 'Adventure', 'Science Fiction']",Science Fiction
113,14,2014-08-01,Guardians of the Galaxy,170000000,333172112,770867516,2014,6,0,Friday,8,3.5345148,0.7794692389139407,600867516,"['Action', 'Adventure', 'Science Fiction']",Science Fiction
114,15,2010-05-07,Iron Man 2,170000000,312433331,621156389,2010,10,1,Friday,5,2.653861111764706,0.7263169098627753,451156389,"['Action', 'Adventure', 'Science Fiction']",Science Fiction
115,16,2014-04-04,Captain America: The Winter Soldier,170000000,259746958,714401889,2014,6,0,Friday,4,3.2023640529411765,0.7620387031199466,544401889,"['Action', 'Adventure', 'Science Fiction']",Action
116,17,2014-07-11,Dawn of the Planet of the Apes,170000000,208545589,710644566,2014,6,0,Friday,7,3.1802621529411765,0.7607805531295655,540644566,"['Action', 'Drama', 'Science Fiction', 'Thriller']",Action
118,19,2012-06-01,Snow White and the Huntsman,170000000,155136755,401021746,2012,8,0,Friday,6,1.3589514470588235,0.5760828391585527,231021746,"['Adventure', 'Drama', 'Fantasy']",Fantasy
120,21,2004-05-07,Van Helsing,170000000,120150546,300150546,2004,16,1,Friday,5,0.7655914470588235,0.4336175553716967,130150546,"['Action', 'Adventure', 'Horror']",Action
122,23,2015-05-22,Tomorrowland,170000000,93436322,206627518,2015,5,0,Friday,5,0.2154559882352941,0.17726350466059415,36627518,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",Family
125,26,2016-05-27,Alice Through the Looking Glass,170000000,77042381,276928112,2016,4,0,Friday,5,0.6289888941176469,0.3861222727723648,106928112,"['Adventure', 'Family', 'Fantasy']",Family
126,27,2010-05-21,Shrek Forever After,165000000,238736787,756244673,2010,10,1,Friday,5,3.5833010484848486,0.7818166449418414,591244673,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Animation
127,28,2016-11-04,Doctor Strange,165000000,232641920,676404566,2016,4,0,Friday,11,3.099421612121212,0.7560631487517191,511404566,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Science Fiction
128,29,2014-11-07,Big Hero 6,165000000,222527828,652127828,2014,6,0,Friday,11,2.952289866666667,0.7469821208120565,487127828,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",Animation
129,30,2010-03-26,How to Train Your Dragon,165000000,217581232,494870992,2010,10,1,Friday,3,1.9992181333333328,0.6665797699453759,329870992,"['Adventure', 'Animation', 'Family', 'Fantasy']",Animation
130,31,2012-11-02,Wreck-It Ralph,165000000,189412677,496511521,2012,8,0,Friday,11,2.0091607333333332,0.6676814272754811,331511521,"['Adventure', 'Animation', 'Comedy', 'Family']",Family
131,32,2014-11-05,Interstellar,165000000,188017894,666379375,2014,6,0,Wednesday,11,3.038662878787879,0.7523932969864201,501379375,"['Adventure', 'Drama', 'Science Fiction']",Adventure
132,33,2016-06-24,Independence Day: Resurgence,165000000,103144286,384169424,2016,4,0,Friday,6,1.3282995393939394,0.5705019980975894,219169424,"['Action', 'Adventure', 'Science Fiction']",Science Fiction
134,35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,3,0,Friday,3,6.8699981625,0.8729351672831474,1099199706,"['Animation', 'Family', 'Fantasy', 'Romance']",Romance
135,36,2018-12-21,Aquaman,160000000,335061807,1146894640,2018,2,0,Friday,12,6.1680915,0.8604928522466545,986894640,"['Action', 'Adventure', 'Fantasy']",Fantasy
137,38,2010-07-16,Inception,160000000,292576195,835524642,2010,10,1,Friday,7,4.2220290125,0.8085035533877168,675524642,"['Action', 'Adventure', 'Science Fiction']",Science Fiction
138,39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,2015,5,0,Friday,11,3.05616741875,0.753461852837383,488986787,"['Action', 'Adventure', 'Science Fiction']",Science Fiction
140,41,2014-05-16,Godzilla,160000000,200676069,529076069,2014,6,0,Friday,5,2.30672543125,0.6975860195256725,369076069,"['Action', 'Drama', 'Science Fiction']",Drama
141,42,2011-06-03,X-Men: First Class,160000000,146408305,355408305,2011,9,0,Friday,6,1.22130190625,0.5498135588024596,195408305,"['Action', 'Adventure', 'Science Fiction']",Action
143,44,2010-07-14,The Sorcerer's Apprentice,160000000,63150991,217986320,2010,10,1,Wednesday,7,0.3624145,0.2660089862519813,57986320,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",Drama
145,46,2016-06-10,Warcraft,160000000,47225655,425522281,2016,4,0,Friday,6,1.65951425625,0.6239914872988754,265522281,"['Action', 'Adventure', 'Fantasy']",Fantasy
146,47,2016-09-30,Deepwater Horizon,156000000,61433527,122603824,2016,4,0,Friday,9,-0.2140780512820513,-0.2723909818669277,-33396176,"['Action', 'Drama']",Drama
