,movie,imdb_rating,meta_score,runtime,gross,n_imdb
148, Grown Ups ,5.9,30.0,102,162.0,59.0
149, Ice Age: Continental Drift ,6.6,49.0,88,161.32,66.0
150, Straight Outta Compton ,7.9,72.0,147,161.2,79.0
151, The Heat ,6.6,60.0,117,159.58,66.0
152, Fantastic Beasts: The Crimes of Grindelwald ,6.6,52.0,134,159.56,66.0
153, Halloween ,6.6,67.0,106,159.34,66.0
154, Star Trek Beyond ,7.1,68.0,122,158.85,71.0
155, X-Men: Apocalypse ,6.9,52.0,144,155.44,69.0
156, Snow White and the Huntsman ,6.1,57.0,127,155.33,61.0
157, San Andreas ,6.0,43.0,114,155.19,60.0
158, Mad Max Fury Road: Black & Chrome Edition ,8.1,90.0,120,154.06,81.0
159, Trolls ,6.5,55.0,92,153.71,65.0
160, Cars 3 ,6.7,59.0,102,152.9,67.0
161, La La Land ,8.0,94.0,128,151.1,80.0
162, Divergent ,6.7,48.0,139,150.95,67.0
163, We're the Millers ,7.0,44.0,110,150.39,70.0
164, Daddy's Home ,6.2,42.0,96,150.36,62.0
165, Neighbors ,6.3,68.0,97,150.16,63.0
166, American Hustle ,7.2,90.0,138,150.12,72.0
167, Puss in Boots ,6.6,65.0,90,149.26,66.0
168, Les Misérables ,7.6,63.0,158,148.81,76.0
169, Megamind ,7.2,63.0,95,148.42,72.0
170, Little Fockers ,5.5,27.0,98,148.38,55.0
171, Hotel Transylvania ,7.1,47.0,91,148.31,71.0
172, War for the Planet of the Apes ,7.4,82.0,140,146.88,74.0
173, X: First Class ,7.7,65.0,131,146.41,77.0
174, The Great Gatsby ,7.2,55.0,143,144.84,72.0
175, Rio ,6.9,63.0,96,143.62,69.0
176, Kung Fu Panda 3 ,7.1,66.0,95,143.53,71.0
177, The Meg ,5.7,46.0,113,143.01,57.0
178, The Smurfs ,5.4,30.0,103,142.61,54.0
179, Ocean's 8 ,6.2,61.0,110,140.22,62.0
180, Taken 2 ,6.3,45.0,92,139.85,63.0
181, The King's Speech ,8.0,88.0,118,138.8,80.0
182, 21 Jump Street ,7.2,69.0,109,138.45,72.0
183, Split ,7.3,62.0,117,138.29,73.0
184, Ready Player One ,7.5,64.0,140,137.69,75.0
185, The Conjuring ,7.5,68.0,112,137.4,75.0
186, Argo ,7.7,86.0,120,136.03,77.0
187, Ride Along ,6.2,41.0,99,134.94,62.0
188, Identity Thief ,5.7,35.0,111,134.51,57.0
189, Grown Ups 2 ,5.4,19.0,101,133.67,54.0
190, Alvin and the Chipmunks: Chipwrecked ,4.3,24.0,87,133.11,43.0
191, The Wolverine ,6.7,61.0,126,132.56,67.0
192, Wonder ,8.0,66.0,113,132.42,80.0
193, Silver Linings Playbook ,7.7,81.0,122,132.09,77.0
194, The Last Airbender ,4.1,20.0,103,131.56,41.0
195, Rio 2 ,6.3,49.0,101,131.54,63.0
196, Insurgent ,6.2,42.0,119,130.18,62.0
197, The Peanuts Movie ,7.1,67.0,88,130.18,71.0
198, Transformers: The Last Knight ,5.2,27.0,154,130.17,52.0
199, Ghostbusters ,5.2,60.0,116,128.34,52.0
200, Kingsman: The Secret Service ,7.7,60.0,129,128.26,77.0
201, Shutter Island ,8.1,63.0,138,128.01,81.0
202, Into the Woods ,5.9,69.0,125,128.0,59.0
203, Central Intelligence ,6.3,52.0,107,127.44,63.0
204, Anchorman 2: The Legend Continues ,6.3,61.0,119,127.35,63.0
205, Bumblebee ,6.8,66.0,114,127.2,68.0
206, Super 8 ,7.0,72.0,112,127.0,70.0
207, Lucy ,6.4,61.0,89,126.66,64.0
208, The Legend of Tarzan ,6.2,44.0,110,126.64,62.0
